Campaign_Name,Platform,Impressions,Clicks,Spend,Conversions,Status
DIY_Tutorial_Series,YouTube,52000,890,520.00,48,Active
Mega_Giveaway_Contest,Facebook,68000,2300,740.00,198,Active
Fashion_Week_Collab,Instagram,73000,2100,1050.00,245,Active
Smart_Home_Bundle,Google Ads,41000,1180,680.00,102,Active
Eco_Friendly_Products,TikTok,92000,3400,610.00,325,Active
Professional_Services_Ad,LinkedIn,13000,145,810.00,11,Active
Recipe_eBook_Download,Email,17000,2050,140.00,168,Active
Sports_Event_Sponsorship,Programmatic,64000,380,690.00,18,Paused
Wellness_Week_Campaign,Instagram,39000,1150,670.00,128,Active
Payment_Plan_Promo,Facebook,31000,780,520.00,76,Active
Tech_Review_Roundup,YouTube,46000,710,450.00,38,Active
Loyalty_Points_Double,Google Ads,37000,1090,590.00,98,Active
Midnight_Flash_Sale,Email,24000,2900,220.00,245,Active
Pet_Lovers_Community,TikTok,98000,3650,580.00,340,Active
Executive_Networking,LinkedIn,9500,98,690.00,7,Active
Unboxing_Video_Series,Instagram,56000,1720,840.00,195,Active
Group_Buy_Discount,Facebook,33000,890,460.00,82,Active
Subscription_Box_Launch,Google Ads,48000,1420,720.00,118,Active
Music_Festival_Partnership,TikTok,115000,4900,710.00,405,Active
Charity_Fundraiser_Drive,LinkedIn,11500,130,750.00,10,Active
Weekly_Deal_Alert,Email,20000,2350,175.00,188,Active
Home_Improvement_Guide,YouTube,38000,620,410.00,32,Paused
Luxury_Collection_Reveal,Instagram,82000,2400,1180.00,268,Active
Age_Group_Targeting_25_34,Facebook,44000,1020,580.00,89,Active
Voice_Search_Optimization,Google Ads,29000,840,490.00,75,Active
Dance_Challenge_Trend,TikTok,135000,5800,680.00,445,Active
C_Suite_Decision_Makers,LinkedIn,8900,92,820.00,6,Active
Win_Back_Inactive_Users,Email,15000,1780,130.00,152,Active
Comparison_Shopping_Guide,Programmatic,51000,310,560.00,11,Paused
Beach_Season_Essentials,Instagram,49000,1480,750.00,162,Active
Community_Forum_Launch,Facebook,26000,710,440.00,71,Active
Kitchen_Gadget_Demo,YouTube,42000,680,430.00,36,Active
Hourly_Deal_Blitz,Google Ads,53000,1690,770.00,148,Active
College_Campus_Tour,TikTok,87000,3050,540.00,305,Active
Industry_Conference_Booth,LinkedIn,12500,152,880.00,13,Active
Personalization_Algorithm_Test,Email,18500,2180,165.00,178,Active
AR_Try_On_Feature,Instagram,71000,2050,980.00,238,Active
Engagement_Rate_Boost,Facebook,35000,920,510.00,85,Active
Local_SEO_Push,Google Ads,31000,920,540.00,83,Active
Meme_Marketing_Experiment,TikTok,102000,4350,620.00,368,Active
Thought_Leader_Interview,LinkedIn,10200,118,710.00,9,Active
Abandoned_Browse_Retarget,Email,16500,1950,145.00,161,Active
Video_Testimonial_Compilation,YouTube,44000,690,440.00,37,Paused
Anniversary_Sale_Mega,Instagram,64000,1920,890.00,215,Active
Messenger_Bot_Campaign,Facebook,38000,1050,590.00,92,Active
Smart_Bidding_Test_A,Google Ads,42000,1240,660.00,107,Active
Creator_Fund_Partnership,TikTok,118000,5100,700.00,418,Active
White_Paper_Download,LinkedIn,14200,172,840.00,16,Active
Trigger_Based_Automation,Email,19500,2280,170.00,186,Active
Native_Ad_Placement,Programmatic,58000,340,610.00,13,Paused
Sunset_Product_Clearance,Instagram,34000,1020,610.00,112,Active
Photo_Contest_UGC,Facebook,47000,1310,680.00,115,Active
Tutorial_Playlist_Series,YouTube,49000,770,480.00,42,Active
Weekend_Warrior_Sale,Google Ads,46000,1380,690.00,122,Active
Sound_Trending_Hashtag,TikTok,108000,4600,640.00,388,Active
Job_Posting_Recruitment,LinkedIn,7800,85,650.00,5,Active
Cart_Recovery_Sequence,Email,17500,2080,155.00,172,Active
Sponsored_Content_Test,Programmatic,62000,370,640.00,16,Paused
Outfit_Of_The_Day_Series,Instagram,58000,1780,820.00,198,Active
Watch_Party_Event,Facebook,32000,860,490.00,78,Active
Product_Comparison_Tool,Google Ads,39000,1150,620.00,99,Active
Duet_Challenge_Launch,TikTok,96000,3850,590.00,348,Active
Case_Study_Showcase,LinkedIn,11800,138,770.00,11,Active
Birthday_Month_Offer,Email,18000,2150,160.00,176,Active
Rich_Media_Banner,Programmatic,54000,320,590.00,12,Paused
Minimalist_Aesthetic_Push,Instagram,51000,1550,760.00,172,Active
Poll_Engagement_Campaign,Facebook,29000,790,450.00,73,Active
Shopping_Feed_Optimization,Google Ads,47000,1410,710.00,121,Active
Before_After_Transformation,TikTok,111000,4750,670.00,402,Active
Alumni_Network_Outreach,LinkedIn,9200,102,690.00,8,Active
Re_Engagement_Winback,Email,16000,1900,140.00,158,Active
Skin_Care_Routine_Guide,YouTube,40000,650,420.00,34,Paused
Boomerang_Content_Test,Instagram,43000,1290,680.00,142,Active
Life_Event_Targeting,Facebook,36000,970,550.00,88,Active
Dynamic_Search_Ads,Google Ads,34000,1010,570.00,89,Active
Storytime_Narrative_Series,TikTok,89000,3250,560.00,318,Active
Skills_Based_Targeting,LinkedIn,10500,122,730.00,10,Active
Segment_Personalization_Test,Email,17800,2120,162.00,174,Active
Sunset_Photo_Campaign,Instagram,46000,1380,710.00,152,Active
Instant_Experience_Ad,Facebook,41000,1130,620.00,98,Active
Seasonal_Keyword_Boost,Google Ads,44000,1320,680.00,115,Active
POV_Content_Experiment,TikTok,103000,4400,630.00,375,Active
Salary_Survey_Lead_Gen,LinkedIn,8600,94,670.00,7,Active
Post_Purchase_Upsell,Email,15500,1850,135.00,154,Active
Interactive_Quiz_Ad,Programmatic,56000,330,600.00,14,Paused
Behind_Scenes_Content,Instagram,54000,1650,790.00,183,Active
Carousel_Ad_Showcase,Facebook,38000,1040,580.00,91,Active
Competitor_Keyword_Bid,Google Ads,28000,830,510.00,72,Active
Transition_Effect_Trend,TikTok,94000,3900,600.00,352,Active
Certification_Course_Promo,LinkedIn,12800,156,810.00,14,Active
Milestone_Celebration_Email,Email,19000,2250,168.00,184,Active
Product_Launch_Teaser_1,Instagram,67000,2020,950.00,228,Active
Lookalike_Expansion_Test,Facebook,33000,880,520.00,81,Active
Performance_Max_Campaign,Google Ads,51000,1530,740.00,134,Active
Green_Screen_Challenge,TikTok,107000,4650,660.00,395,Active
Vendor_Partnership_Announcement,LinkedIn,9800,108,700.00,8,Active
Welcome_Series_Automation,Email,21000,2500,185.00,205,Active
Retro_Aesthetic_Campaign,Instagram,48000,1450,730.00,160,Active
Stories_Ad_Placement,Facebook,40000,1100,600.00,96,Active
Smart_Shopping_Campaign,Google Ads,49000,1470,720.00,127,Active
Lip_Sync_Challenge,TikTok,99000,4200,610.00,365,Active
Remote_Work_Solutions,LinkedIn,11200,130,750.00,11,Active
Survey_Feedback_Request,Email,16800,2000,150.00,165,Active
Spring_Color_Palette,Instagram,52000,1590,780.00,176,Active
Catalog_Sales_Campaign,Facebook,37000,1010,560.00,87,Active
Responsive_Search_Ads,Google Ads,41000,1230,650.00,108,Active
Aesthetic_Montage_Video,TikTok,105000,4500,640.00,382,Active
Product_Demo_Webinar,LinkedIn,13500,165,830.00,15,Active
Seasonal_Product_Swap,Email,18200,2170,163.00,179,Active
Gradient_Design_Test,Instagram,45000,1360,690.00,150,Active
Video_Views_Campaign,Facebook,43000,1180,610.00,102,Active
Call_Only_Ads,Google Ads,26000,770,480.00,68,Active
Tutorial_How_To_Series,TikTok,91000,3550,580.00,332,Active
Hiring_Campaign_Push,LinkedIn,8200,89,660.00,6,Active
Cross_Sell_Recommendation,Email,17200,2050,154.00,169,Active
Mood_Board_Inspiration,Instagram,49000,1480,740.00,163,Active
Lead_Generation_Form,Facebook,34000,920,540.00,84,Active
Broad_Match_Test,Google Ads,38000,1140,610.00,100,Active
Story_Time_Series,TikTok,97000,4050,620.00,358,Active
Industry_Awards_Campaign,LinkedIn,10800,125,730.00,10,Active
Price_Drop_Alert,Email,19800,2360,176.00,193,Active
Neon_Lights_Aesthetic,Instagram,56000,1710,810.00,189,Active
Collection_Ad_Format,Facebook,39000,1070,590.00,93,Active
Exact_Match_Keywords,Google Ads,32000,960,550.00,85,Active
Slowed_Reverb_Audio,TikTok,101000,4300,630.00,371,Active
Employee_Advocacy_Program,LinkedIn,9500,105,690.00,8,Active
Replenishment_Reminder,Email,16200,1930,148.00,160,Active
Pastel_Color_Campaign,Instagram,47000,1420,710.00,157,Active
Advantage_Plus_Shopping,Facebook,42000,1160,630.00,101,Active
Local_Inventory_Ads,Google Ads,45000,1350,690.00,118,Active
Fast_Cut_Edit_Style,TikTok,104000,4480,650.00,379,Active
Skill_Development_Webinar,LinkedIn,12200,149,790.00,13,Active
Win_Back_Lapsed_Customers,Email,15800,1880,142.00,156,Active
Sunset_Golden_Hour,Instagram,53000,1620,770.00,179,Active
Awareness_Campaign_Q4,Facebook,46000,1270,670.00,110,Active
Target_ROAS_Bidding,Google Ads,43000,1290,670.00,113,Active
Time_Lapse_Content,TikTok,93000,3750,590.00,342,Active
Diversity_Inclusion_Initiative,LinkedIn,11000,128,740.00,10,Active
Back_In_Stock_Alert,Email,18600,2220,166.00,182,Active
Monochrome_Filter_Test,Instagram,50000,1520,750.00,168,Active
Conversion_Campaign_Optimize,Facebook,35000,950,560.00,86,Active
Maximize_Conversions_Strategy,Google Ads,40000,1200,640.00,105,Active
Voiceover_Storytelling,TikTok,98000,4150,610.00,362,Active
Mentorship_Program_Launch,LinkedIn,9900,115,710.00,9,Active
VIP_Exclusive_Preview,Email,17600,2100,157.00,173,Active
Film_Photography_Vibe,Instagram,48000,1450,720.00,160,Active
Traffic_Campaign_Test,Facebook,37000,1020,580.00,89,Active
Target_CPA_Strategy,Google Ads,39000,1170,630.00,102,Active
Split_Screen_Comparison,TikTok,100000,4250,620.00,368,Active
Partner_Ecosystem_Growth,LinkedIn,10400,121,720.00,10,Active
Product_Recommendation_AI,Email,18900,2250,168.00,185,Active
Urban_Street_Photography,Instagram,55000,1680,800.00,186,Active
Engagement_Campaign_Boost,Facebook,41000,1130,610.00,98,Active
Enhanced_CPC_Bidding,Google Ads,36000,1080,590.00,95,Active
Day_In_Life_Format,TikTok,96000,3950,600.00,353,Active
Vendor_Spotlight_Series,LinkedIn,9100,100,680.00,8,Active
Seasonal_Gift_Reminder,Email,19200,2290,171.00,188,Active
Cottagecore_Aesthetic,Instagram,51000,1550,760.00,172,Active
Reach_Campaign_Expansion,Facebook,44000,1210,640.00,105,Active
Manual_CPC_Control,Google Ads,33000,990,560.00,87,Active
Photo_Dump_Trend,TikTok,102000,4350,630.00,374,Active
Startup_Incubator_Partnership,LinkedIn,8700,96,670.00,7,Active
Birthday_Discount_Code,Email,17000,2030,152.00,168,Active
Dark_Academia_Theme,Instagram,46000,1390,700.00,154,Active
Video_Views_Objective,Facebook,39000,1080,590.00,94,Active
Maximize_Clicks_Bid,Google Ads,42000,1260,660.00,110,Active
Aesthetic_Transitions,TikTok,99000,4200,610.00,365,Active
Consultant_Marketplace_Launch,LinkedIn,10600,123,730.00,10,Active
Free_Sample_Offer,Email,20000,2380,178.00,196,Active
Minimalist_Product_Shot,Instagram,49000,1480,730.00,164,Active
App_Install_Objective,Facebook,38000,1050,600.00,92,Active
Target_Impression_Share,Google Ads,40000,1200,640.00,105,Active
Recipe_Tutorial_Series,TikTok,95000,3850,590.00,348,Active
Enterprise_Solution_Demo,LinkedIn,12600,154,810.00,14,Active
Holiday_Shipping_Deadline,Email,18400,2190,164.00,180,Active
Vintage_Film_Effect,Instagram,52000,1590,780.00,176,Active
Lead_Generation_Objective,Facebook,36000,990,570.00,88,Active
Portfolio_Max_Campaign,Google Ads,48000,1440,710.00,125,Active
Get_Ready_With_Me,TikTok,106000,4550,650.00,387,Active
Innovation_Lab_Showcase,LinkedIn,9400,104,690.00,8,Active
New_Arrival_Announcement,Email,19600,2330,174.00,191,Active
Boho_Chic_Collection,Instagram,54000,1650,790.00,183,Active
Store_Traffic_Objective,Facebook,40000,1100,600.00,96,Active
Discovery_Campaign_Launch,Google Ads,46000,1380,700.00,120,Active
Outfit_Transition_Video,TikTok,103000,4400,630.00,375,Active
Knowledge_Base_Content,LinkedIn,11400,133,750.00,11,Active
Flash_Sale_Countdown,Email,21000,2500,186.00,206,Active
Soft_Girl_Aesthetic,Instagram,50000,1520,750.00,168,Active
Brand_Awareness_Objective,Facebook,45000,1240,660.00,108,Active
Video_Action_Campaign,Google Ads,44000,1320,680.00,115,Active
Transformation_Before_After,TikTok,100000,4250,620.00,368,Active
Professional_Certification,LinkedIn,10100,118,710.00,9,Active
Loyalty_Tier_Upgrade,Email,17800,2120,159.00,175,Active
Y2K_Nostalgia_Campaign,Instagram,57000,1740,820.00,193,Active
Consideration_Campaign,Facebook,42000,1160,630.00,101,Active
App_Promotion_Campaign,Google Ads,41000,1230,650.00,108,Active
Room_Transformation_Tour,TikTok,98000,4150,610.00,362,Active
Executive_Summit_Registration,LinkedIn,8900,98,680.00,7,Active
Member_Exclusive_Sale,Email,19000,2260,169.00,186,Active
Grunge_Aesthetic_Revival,Instagram,53000,1620,780.00,180,Active
Conversion_Objective_Focus,Facebook,38000,1050,590.00,92,Active
Standard_Shopping_Campaign,Google Ads,47000,1410,710.00,123,Active
Cleaning_Routine_Video,TikTok,92000,3700,580.00,338,Active
Research_Report_Download,LinkedIn,11800,137,770.00,12,Active
Refer_A_Friend_Bonus,Email,18200,2170,162.00,179,Active
Dopamine_Dressing_Trend,Instagram,55000,1680,800.00,186,Active
Messages_Objective_Campaign,Facebook,37000,1020,580.00,89,Active
Hotel_Ads_Campaign,Google Ads,29000,870,530.00,77,Active
Study_With_Me_Content,TikTok,89000,3550,570.00,328,Active
Sustainability_Report_Launch,LinkedIn,9600,106,700.00,8,Active
Cart_Abandonment_Series,Email,16500,1970,148.00,163,Active
Coastal_Grandmother_Aesthetic,Instagram,51000,1550,760.00,172,Active
Sales_Objective_Campaign,Facebook,39000,1080,600.00,94,Active
Performance_Planner_Test,Google Ads,43000,1290,670.00,113,Active
Morning_Routine_Vlog,TikTok,97000,4050,600.00,358,Active
Partner_Directory_Listing,LinkedIn,10300,120,720.00,10,Active
Exclusive_Member_Preview,Email,18800,2240,167.00,184,Active
Fairycore_Fantasy_Theme,Instagram,48000,1450,720.00,160,Active
Post_Engagement_Campaign,Facebook,41000,1130,610.00,98,Active
Search_Partner_Network,Google Ads,35000,1050,580.00,92,Active
Packing_Haul_Video,TikTok,101000,4300,620.00,371,Active
Industry_Benchmark_Report,LinkedIn,12100,148,790.00,13,Active
Seasonal_Style_Guide,Email,19400,2310,173.00,190,Active
Light_Academia_Collection,Instagram,52000,1590,780.00,176,Active
Video_Reach_Campaign,Facebook,43000,1180,630.00,103,Active
Display_Network_Expansion,Google Ads,50000,1500,730.00,131,Active
Productivity_Tips_Series,TikTok,94000,3850,590.00,348,Active
Webinar_Follow_Up_Sequence,LinkedIn,9200,102,690.00,8,Active
Customer_Appreciation_Week,Email,20000,2380,178.00,196,Active
Regency_Era_Aesthetic,Instagram,49000,1480,730.00,164,Active
Instant_Forms_Lead_Gen,Facebook,36000,990,570.00,88,Active
Gmail_Sponsored_Promotions,Google Ads,38000,1140,610.00,100,Active
Life_Hacks_Tutorial,TikTok,96000,3950,600.00,353,Active
Thought_Leadership_Article,LinkedIn,10700,124,730.00,10,Active
New_Product_Education,Email,18000,2150,161.00,177,Active
Midwest_Gothic_Vibe,Instagram,46000,1390,700.00,154,Active
Catalog_Listing_Campaign,Facebook,40000,1100,600.00,96,Active
YouTube_Video_Discovery,Google Ads,42000,1260,660.00,110,Active
Thrift_Flip_Tutorial,TikTok,99000,4200,610.00,365,Active
Virtual_Conference_Booth,LinkedIn,11500,134,760.00,11,Active
Limited_Time_Offer_Alert,Email,19800,2360,176.00,193,Active
Goblincore_Nature_Theme,Instagram,44000,1330,680.00,148,Active
App_Event_Optimization,Facebook,37000,1020,580.00,89,Active
In_Market_Audience_Target,Google Ads,45000,1350,690.00,118,Active
Plant_Care_Tips_Video,TikTok,91000,3700,580.00,338,Active
Customer_Success_Story,LinkedIn,9800,108,700.00,8,Active
Win_Back_VIP_Campaign,Email,17200,2050,154.00,169,Active
Cottagecore_Garden_Party,Instagram,50000,1520,750.00,168,Active
Advantage_Campaign_Budget,Facebook,39000,1080,590.00,94,Active
Affinity_Audience_Targeting,Google Ads,41000,1230,650.00,108,Active
Self_Care_Sunday_Routine,TikTok,98000,4150,610.00,362,Active
Certification_Badge_Program,LinkedIn,10200,119,710.00,9,Active
Exclusive_Early_Access_VIP,Email,18600,2220,166.00,182,Active
Darkwave_Aesthetic_Launch,Instagram,53000,1620,780.00,180,Active
Campaign_Budget_Optimization,Facebook,42000,1160,630.00,101,Active
Audience_Expansion_Test,Google Ads,44000,1320,680.00,115,Active
Budget_Friendly_DIY,TikTok,95000,3900,590.00,350,Active
Strategic_Partnership_Announce,LinkedIn,9500,105,690.00,8,Active
Subscription_Renewal_Reminder,Email,16800,2000,150.00,165,Active
Spacecore_Cosmic_Theme,Instagram,56000,1710,810.00,189,Active
Dynamic_Creative_Testing,Facebook,38000,1050,590.00,92,Active
Similar_Audience_Targeting,Google Ads,40000,1200,640.00,105,Active
Travel_Vlog_Series,TikTok,104000,4480,640.00,379,Active
Innovation_Showcase_Event,LinkedIn,11000,128,730.00,10,Active
Product_Restock_Notification,Email,19200,2290,171.00,188,Active
Royalcore_Palace_Aesthetic,Instagram,51000,1550,760.00,172,Active
Multi_Advertiser_Ads,Facebook,40000,1100,600.00,96,Active
Content_Exclusion_Strategy,Google Ads,37000,1110,600.00,97,Active
Workout_Challenge_30Day,TikTok,102000,4350,630.00,374,Active
Channel_Partner_Recruitment,LinkedIn,8700,96,670.00,7,Active
Anniversary_Celebration_Offer,Email,20000,2380,178.00,196,Active
Urbancore_City_Life,Instagram,54000,1650,790.00,183,Active
Creative_Hub_Mockup_Test,Facebook,41000,1130,610.00,98,Active
Keyword_Planner_Expansion,Google Ads,43000,1290,670.00,113,Active
Book_Recommendations_List,TikTok,88000,3550,570.00,328,Active
Industry_Panel_Discussion,LinkedIn,10400,121,720.00,10,Active
Customer_Review_Request,Email,17600,2100,157.00,173,Active
Witchcore_Mystical_Campaign,Instagram,48000,1450,720.00,160,Active
Collaborative_Ads_Test,Facebook,36000,990,570.00,88,Active
Placement_Asset_Report,Google Ads,39000,1170,630.00,102,Active
Fashion_Haul_Styling,TikTok,100000,4250,620.00,368,Active
Employee_Referral_Program,LinkedIn,9100,100,680.00,8,Active
Surprise_Gift_Inside,Email,18400,2190,164.00,180,Active
Autumn_Aesthetic_Vibes,Instagram,52000,1590,780.00,176,Active
Engagement_Objective_Campaign,Facebook,43000,1180,630.00,103,Active
Optimized_Shopping_Campaign,Google Ads,46000,1380,700.00,120,Active
Creative_Vlog_Series,TikTok,97000,4050,600.00,358,Active
Business_Growth_Webinar,LinkedIn,9800,108,700.00,8,Active
Seasonal_Promotion_Email,Email,19000,2260,169.00,186,Active
Festive_Aesthetic_Campaign,Instagram,50000,1520,750.00,168,Active
Conversion_Focused_Ads,Facebook,40000,1100,600.00,96,Active
Target_ROAS_Optimization,Google Ads,45000,1350,690.00,118,Active
DIY_Home_Decor_Tips,TikTok,93000,3850,590.00,342,Active
B2B_Lead_Generation,LinkedIn,11200,130,750.00,11,Active
Holiday_Shopping_Reminder,Email,19800,2360,176.00,193,Active
Cozy_Aesthetic_Collection,Instagram,53000,1620,780.00,180,Active
Video_Conversion_Campaign,Facebook,41000,1130,610.00,98,Active
Smart_Shopping_Launch,Google Ads,48000,1440,710.00,125,Active
Entrepreneur_Networking,LinkedIn,10500,122,730.00,10,Active
Morning_Motivation_Email,Email,18200,2170,162.00,179,Active
Retro_Vintage_Aesthetic,Instagram,55000,1680,800.00,186,Active
Performance_Campaign_Boost,Facebook,42000,1160,630.00,101,Active
Maximize_Conversion_Value,Google Ads,44000,1320,680.00,115,Active
Day_In_Life_Vlog,TikTok,96000,3950,600.00,353,Active
Corporate_Training_Series,LinkedIn,8900,98,680.00,7,Active
Seasonal_Sale_Announcement,Email,19400,2310,173.00,190,Active
Vintage_Aesthetic_Photoshoot,Instagram,48000,1450,720.00,160,Active
Traffic_Boost_Campaign,Facebook,39000,1080,590.00,94,Active
Target_CPA_Optimization,Google Ads,43000,1290,670.00,113,Active
Creative_Editing_Style,TikTok,99000,4200,610.00,365,Active
Professional_Development_Webinar,LinkedIn,10800,125,730.00,10,Active
Holiday_Gift_Guide,Email,20000,2380,178.00,196,Active
Naturecore_Outdoor_Aesthetic,Instagram,52000,1590,780.00,176,Active
Engagement_Focused_Ads,Facebook,41000,1130,610.00,98,Active
Optimized_Display_Campaign,Google Ads,46000,1380,700.00,120,Active
Productivity_Hacks_Video,TikTok,94000,3850,590.00,348,Active
Small_Business_Webinar,LinkedIn,9700,106,700.00,8,Active
Holiday_Season_Promo,Email,18800,2240,167.00,184,Active
Cottagecore_Aesthetic_Campaign,Instagram,56000,1710,810.00,189,Active
Conversion_Rate_Optimization,Facebook,38000,1050,590.00,92,Active
Maximize_Conversion_Campaign,Google Ads,40000,1200,640.00,105,Active
Morning_Routine_Video,TikTok,98000,4150,610.00,362,Active
Startup_Webinar_Series,LinkedIn,9300,103,690.00,8,Active
Seasonal_Savings_Email,Email,19200,2290,171.00,188,Active
Dark Academia Aesthetic,Instagram,54000,1650,790.00,183,Active
Video_Engagement_Campaign,Facebook,40000,1100,600.00,96,Active
Targeted_Display_Ads,Google Ads,47000,1410,710.00,123,Active
Room_Decor_Tips_TikTok,TikTok,102000,4350,630.00,374,Active
Professional_Networking_Event,LinkedIn,10000,116,720.00,9,Active
Limited_Offer_Email_Blast,Email,18600,2220,166.00,182,Active
Vintage_Vibes_Aesthetic,Instagram,51000,1550,760.00,172,Active
Sales_Driven_Ads,Facebook,39000,1080,600.00,94,Active
Target_ROAS_Campaign,Google Ads,44000,1320,680.00,115,Active
Daily_Vlog_Series,TikTok,97000,4050,600.00,358,Active
B2B_Webinar_Promotion,LinkedIn,11500,134,760.00,11,Active
Festive_Season_Sale,Email,20000,2380,178.00,196,Active
Autumn_Aesthetic_Campaign,Instagram,53000,1620,780.00,180,Active
Engagement_Optimized_Ads,Facebook,41000,1130,610.00,98,Active
Smart_Shopping_Strategy,Google Ads,48000,1440,710.00,125,Active
Entrepreneur_Webinar_Series,LinkedIn,10500,122,730.00,10,Active
Motivational_Morning_Email,Email,18200,2170,162.00,179,Active
Retro_Style_Aesthetic,Instagram,55000,1680,800.00,186,Active
Performance_Boost_Campaign,Facebook,42000,1160,630.00,101,Active
Maximize_Conversion_Value,Google Ads,44000,1320,680.00,115,Active
Day_In_Life_Vlog,TikTok,96000,3950,600.00,353,Active
Corporate_Training_Webinar,LinkedIn,8900,98,680.00,7,Active
Seasonal_Sale_Email,Email,19400,2310,173.00,190,Active
Vintage_Photoshoot_Aesthetic,Instagram,48000,1450,720.00,160,Active
Traffic_Increase_Campaign,Facebook,39000,1080,590.00,94,Active
Target_CPA_Ads,Google Ads,43000,1290,670.00,113,Active
Creative_Editing_TikTok,TikTok,99000,4200,610.00,365,Active
Professional_Development_Series,LinkedIn,10800,125,730.00,10,Active
Holiday_Gift_Guide_Email,Email,20000,2380,178.00,196,Active
Naturecore_Aesthetic_Campaign,Instagram,52000,1590,780.00,176,Active
Engagement_Ads_Focus,Facebook,41000,1130,610.00,98,Active
Optimized_Display_Ads,Google Ads,46000,1380,700.00,120,Active
Productivity_Vlog_Series,TikTok,94000,3850,590.00,348,Active
Small_Business_Webinar_Series,LinkedIn,9700,106,700.00,8,Active
Holiday_Promo_Email,Email,18800,2240,167.00,184,Active
Cozy_Aesthetic_Campaign,Instagram,56000,1710,810.00,189,Active
Conversion_Optimization_Ads,Facebook,38000,1050,590.00,92,Active
Maximize_Conversion_Ads,Google Ads,40000,1200,640.00,105,Active
Morning_Routine_TikTok,TikTok,98000,4150,610.00,362,Active
Startup_Series_Webinar,LinkedIn,9300,103,690.00,8,Active
Seasonal_Savings_Email_Blast,Email,19200,2290,171.00,188,Active
Moody_Aesthetic_Photoshoot,Instagram,54000,1650,790.00,183,Active
Video_Engagement_Ads,Facebook,40000,1100,600.00,96,Active
Targeted_Display_Campaign,Google Ads,47000,1410,710.00,123,Active
Room_Decor_Tips_TikTok,TikTok,102000,4350,630.00,374,Active
Professional_Networking_Event,LinkedIn,10000,116,720.00,9,Active
